,Tic,Date,Type,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,EMOT,Virtue,Vice,Ovrst,Undrst,Role,Need,Goal,Try,Means,Persist,Complet,Fail,Think,Know,Causal,Ought,Perceiv,Compare,EVAL,Solve,ABS,WCount
0,MS,20090129,10-K,0.02627741956387908,0.009655574636295888,0.02276188316106665,0.01887373230081327,0.01436995755435311,0.00030781194310339243,0.0036127401743187636,0.0033373294883841495,0.13208886848965584,0.04300305261184793,0.10685197111621957,0.033817296204499324,0.18853352017051261,0.03088532520376476,0.15021496293346887,0.046432249838027004,0.006444475045631771,0.05403712120573734,0.014159966549559264,0.04516445911927557,0.011322774778206849,0.022607826404443712,0.008097032626404366,0.005562485824449988,0.009233930214554265,0.061900794445629695,0.00807084457734103,0.005820496906708551,0.0024333848548928096,0.00011340440009072352,0.035187598315777696,0.008846025368641444,8.100314292194537e-05,0.008506035716003961,0.0014000043201676225,0.01972082179126212,0.023352618451725794,0.0514179816410643,61726.0
1,MS,20090129,10-K,0.02627741956387908,0.009655574636295888,0.02276188316106665,0.01887373230081327,0.01436995755435311,0.00030781194310339243,0.0036127401743187636,0.0033373294883841495,0.13208886848965584,0.04300305261184793,0.10685197111621957,0.033817296204499324,0.18853352017051261,0.03088532520376476,0.15021496293346887,0.046432249838027004,0.006444475045631771,0.05403712120573734,0.014159966549559264,0.04516445911927557,0.011322774778206849,0.022607826404443712,0.008097032626404366,0.005562485824449988,0.009233930214554265,0.061900794445629695,0.00807084457734103,0.005820496906708551,0.0024333848548928096,0.00011340440009072352,0.035187598315777696,0.008846025368641444,8.100314292194537e-05,0.008506035716003961,0.0014000043201676225,0.01972082179126212,0.023352618451725794,0.0514179816410643,61726.0
2,MS,20090129,10-K,0.02627741956387908,0.009655574636295888,0.02276188316106665,0.01887373230081327,0.01436995755435311,0.00030781194310339243,0.0036127401743187636,0.0033373294883841495,0.13208886848965584,0.04300305261184793,0.10685197111621957,0.033817296204499324,0.18853352017051261,0.03088532520376476,0.15021496293346887,0.046432249838027004,0.006444475045631771,0.05403712120573734,0.014159966549559264,0.04516445911927557,0.011322774778206849,0.022607826404443712,0.008097032626404366,0.005562485824449988,0.009233930214554265,0.061900794445629695,0.00807084457734103,0.005820496906708551,0.0024333848548928096,0.00011340440009072352,0.035187598315777696,0.008846025368641444,8.100314292194537e-05,0.008506035716003961,0.0014000043201676225,0.01972082179126212,0.023352618451725794,0.0514179816410643,61726.0
3,MS,20070213,10-K,0.027139094533029613,0.009894646924829158,0.022779043280182234,0.023259538724373575,0.012332716400911162,0.0001245728929384966,0.005676964692482916,0.0033456719817767655,0.1292696434580511,0.04671957749820259,0.10551909339592642,0.03707407635925042,0.1988257199350415,0.02924088836095884,0.15445021343481088,0.04380564766518283,0.0065159038059984815,0.04910161867958352,0.014722100756589652,0.04418074969710434,0.010314123222544349,0.0273050954242227,0.008520078595000294,0.005442649012908124,0.010440193348792441,0.06141622963434789,0.006682911988827422,0.005745935279721227,0.002627128886204911,0.00014236902050113895,0.03800592381707132,0.011154252596539753,5.338838268792711e-05,0.010304604027687384,0.0013109813971146547,0.018451656780956324,0.023986758024743857,0.05060013524029755,56192.0
4,MS,20070213,10-K,0.027139094533029613,0.009894646924829158,0.022779043280182234,0.023259538724373575,0.012332716400911162,0.0001245728929384966,0.005676964692482916,0.0033456719817767655,0.1292696434580511,0.04671957749820259,0.10551909339592642,0.03707407635925042,0.1988257199350415,0.02924088836095884,0.15445021343481088,0.04380564766518283,0.0065159038059984815,0.04910161867958352,0.014722100756589652,0.04418074969710434,0.010314123222544349,0.0273050954242227,0.008520078595000294,0.005442649012908124,0.010440193348792441,0.06141622963434789,0.006682911988827422,0.005745935279721227,0.002627128886204911,0.00014236902050113895,0.03800592381707132,0.011154252596539753,5.338838268792711e-05,0.010304604027687384,0.0013109813971146547,0.018451656780956324,0.023986758024743857,0.05060013524029755,56192.0
5,MS,20070213,10-K,0.027139094533029613,0.009894646924829158,0.022779043280182234,0.023259538724373575,0.012332716400911162,0.0001245728929384966,0.005676964692482916,0.0033456719817767655,0.1292696434580511,0.04671957749820259,0.10551909339592642,0.03707407635925042,0.1988257199350415,0.02924088836095884,0.15445021343481088,0.04380564766518283,0.0065159038059984815,0.04910161867958352,0.014722100756589652,0.04418074969710434,0.010314123222544349,0.0273050954242227,0.008520078595000294,0.005442649012908124,0.010440193348792441,0.06141622963434789,0.006682911988827422,0.005745935279721227,0.002627128886204911,0.00014236902050113895,0.03800592381707132,0.011154252596539753,5.338838268792711e-05,0.010304604027687384,0.0013109813971146547,0.018451656780956324,0.023986758024743857,0.05060013524029755,56192.0
6,MS,20070213,10-K,0.027139094533029613,0.009894646924829158,0.022779043280182234,0.023259538724373575,0.012332716400911162,0.0001245728929384966,0.005676964692482916,0.0033456719817767655,0.1292696434580511,0.04671957749820259,0.10551909339592642,0.03707407635925042,0.1988257199350415,0.02924088836095884,0.15445021343481088,0.04380564766518283,0.0065159038059984815,0.04910161867958352,0.014722100756589652,0.04418074969710434,0.010314123222544349,0.0273050954242227,0.008520078595000294,0.005442649012908124,0.010440193348792441,0.06141622963434789,0.006682911988827422,0.005745935279721227,0.002627128886204911,0.00014236902050113895,0.03800592381707132,0.011154252596539753,5.338838268792711e-05,0.010304604027687384,0.0013109813971146547,0.018451656780956324,0.023986758024743857,0.05060013524029755,56192.0
7,MS,20120507,10-Q,0.03033257501895786,0.008883111255551945,0.02074531470046582,0.017495395948434623,0.014868378290542737,8.124796880077999e-05,0.012755931101722457,0.003954067814971292,0.1320398971296761,0.047044685738015304,0.10848167926694088,0.03521859250145731,0.18297326409732964,0.035030861917846,0.15062124825997902,0.04170727148668325,0.007124092731015059,0.05752980123308366,0.017210093061165537,0.04766904501629885,0.013198736439717914,0.01678197312743949,0.008239134299420293,0.005632289748311849,0.007847731295895093,0.05835218714138932,0.006365004565362056,0.005958060787236932,0.003559950683772588,0.00010833062506770663,0.03832843167016062,0.00915909641941491,2.708265626692666e-05,0.007940724213676765,0.001740060665150038,0.021302645870000442,0.02265715434284658,0.048030895487834055,36924.0
8,MS,20120507,10-Q,0.03033257501895786,0.008883111255551945,0.02074531470046582,0.017495395948434623,0.014868378290542737,8.124796880077999e-05,0.012755931101722457,0.003954067814971292,0.1320398971296761,0.047044685738015304,0.10848167926694088,0.03521859250145731,0.18297326409732964,0.035030861917846,0.15062124825997902,0.04170727148668325,0.007124092731015059,0.05752980123308366,0.017210093061165537,0.04766904501629885,0.013198736439717914,0.01678197312743949,0.008239134299420293,0.005632289748311849,0.007847731295895093,0.05835218714138932,0.006365004565362056,0.005958060787236932,0.003559950683772588,0.00010833062506770663,0.03832843167016062,0.00915909641941491,2.708265626692666e-05,0.007940724213676765,0.001740060665150038,0.021302645870000442,0.02265715434284658,0.048030895487834055,36924.0
9,MS,20120507,10-Q,0.03033257501895786,0.008883111255551945,0.02074531470046582,0.017495395948434623,0.014868378290542737,8.124796880077999e-05,0.012755931101722457,0.003954067814971292,0.1320398971296761,0.047044685738015304,0.10848167926694088,0.03521859250145731,0.18297326409732964,0.035030861917846,0.15062124825997902,0.04170727148668325,0.007124092731015059,0.05752980123308366,0.017210093061165537,0.04766904501629885,0.013198736439717914,0.01678197312743949,0.008239134299420293,0.005632289748311849,0.007847731295895093,0.05835218714138932,0.006365004565362056,0.005958060787236932,0.003559950683772588,0.00010833062506770663,0.03832843167016062,0.00915909641941491,2.708265626692666e-05,0.007940724213676765,0.001740060665150038,0.021302645870000442,0.02265715434284658,0.048030895487834055,36924.0
10,MS,20120507,10-Q,0.03033257501895786,0.008883111255551945,0.02074531470046582,0.017495395948434623,0.014868378290542737,8.124796880077999e-05,0.012755931101722457,0.003954067814971292,0.1320398971296761,0.047044685738015304,0.10848167926694088,0.03521859250145731,0.18297326409732964,0.035030861917846,0.15062124825997902,0.04170727148668325,0.007124092731015059,0.05752980123308366,0.017210093061165537,0.04766904501629885,0.013198736439717914,0.01678197312743949,0.008239134299420293,0.005632289748311849,0.007847731295895093,0.05835218714138932,0.006365004565362056,0.005958060787236932,0.003559950683772588,0.00010833062506770663,0.03832843167016062,0.00915909641941491,2.708265626692666e-05,0.007940724213676765,0.001740060665150038,0.021302645870000442,0.02265715434284658,0.048030895487834055,36924.0
11,MS,20090507,10-Q,0.023984583456863325,0.008508745923510228,0.02048621405277201,0.014764304773198933,0.014260302401423066,0.00014823599169878446,0.01672101986362289,0.0032018974206937446,0.13386740536533004,0.046752296481395214,0.10703399566800102,0.03702801542595495,0.1773598055105615,0.036927764152045225,0.1472653562384514,0.048035153402778655,0.007260598873406463,0.05401119699222278,0.01566935609108749,0.04644916083027555,0.012555926466391927,0.015831558993432696,0.009630436269926337,0.006234311690878545,0.007451299811957979,0.05366474612286946,0.00477012833001567,0.005077253304721434,0.0031846385159459575,8.894159501927067e-05,0.03664521638061513,0.008657864272302456,2.9647198339756893e-05,0.007758792126936211,0.0015787133115920545,0.020025087818595088,0.02391799651249696,0.05860892821313811,33730.0
12,MS,20090507,10-Q,0.023984583456863325,0.008508745923510228,0.02048621405277201,0.014764304773198933,0.014260302401423066,0.00014823599169878446,0.01672101986362289,0.0032018974206937446,0.13386740536533004,0.046752296481395214,0.10703399566800102,0.03702801542595495,0.1773598055105615,0.036927764152045225,0.1472653562384514,0.048035153402778655,0.007260598873406463,0.05401119699222278,0.01566935609108749,0.04644916083027555,0.012555926466391927,0.015831558993432696,0.009630436269926337,0.006234311690878545,0.007451299811957979,0.05366474612286946,0.00477012833001567,0.005077253304721434,0.0031846385159459575,8.894159501927067e-05,0.03664521638061513,0.008657864272302456,2.9647198339756893e-05,0.007758792126936211,0.0015787133115920545,0.020025087818595088,0.02391799651249696,0.05860892821313811,33730.0
